id,codigo_e,nombre,total_docs,r_tox_genetica,r_tox_endocrina,r_tox_neuro,r_tox_digestiva,r_tox_alergia,r_tox_organos,r_ben_antiox,r_ben_microbiol,r_ben_metabolico,r_mod_humano,r_mod_animal,r_mod_invitro
en:e333ii,E333II,Dicalcium citrate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6
en:e321,E321,Butylated hydroxytoluene,927,0.32470334412081986,0.05070118662351672,0.038834951456310676,0.002157497303128371,0.022653721682847898,0.1423948220064725,0.7961165048543689,0.24919093851132687,0.2707659115426106,0.2664509169363538,0.3074433656957929,0.5954692556634305
en:e345,E345,Magnesium citrate,248,0.20161290322580644,0.03225806451612903,0.06451612903225806,0.020161290322580645,0.0,0.10887096774193548,0.04838709677419355,0.036290322580645164,0.1814516129032258,0.6048387096774194,0.06048387096774194,0.3951612903225806
en:e303,E303,Potassium ascorbate,141,0.19148936170212766,0.03546099290780142,0.07092198581560284,0.0070921985815602835,0.02127659574468085,0.04964539007092199,0.0070921985815602835,0.0425531914893617,0.09219858156028368,0.5319148936170213,0.03546099290780142,0.3049645390070922
en:e1104,E1104,lipase,7968,0.08383534136546185,0.20946285140562249,0.055346385542168676,0.03777610441767068,0.009538152610441768,0.2147339357429719,0.12964357429718876,0.08283132530120482,0.6224899598393574,0.33471385542168675,0.3225401606425703,0.5581074297188755
en:e501,E501,Potassium carbonates,107,0.2897196261682243,0.07476635514018691,0.07476635514018691,0.0,0.028037383177570093,0.07476635514018691,0.009345794392523364,0.056074766355140186,0.12149532710280374,0.5607476635514018,0.06542056074766354,0.3364485981308411
en:e490,E490,Propylene glycol,1486,0.10901749663526245,0.059219380888290714,0.05450874831763122,0.010767160161507403,0.0531628532974428,0.06662180349932706,0.09757738896366083,0.15814266487213996,0.2288021534320323,0.3674293405114401,0.21601615074024227,0.5329744279946165
en:e523,E523,Aluminium ammonium sulphate,72,0.1388888888888889,0.06944444444444445,0.09722222222222222,0.013888888888888888,0.013888888888888888,0.05555555555555555,0.0,0.06944444444444445,0.1111111111111111,0.5416666666666666,0.05555555555555555,0.3472222222222222
en:e401,E401,sodium alginate,1673,0.09205020920502092,0.02749551703526599,0.029886431560071727,0.02630005977286312,0.004781829049611476,0.03765690376569038,0.14763897190675435,0.20143454871488345,0.2044231918708906,0.2582187686790197,0.21219366407650928,0.4997011356843993
en:e103,E103,Alkannin,364,0.1620879120879121,0.04395604395604396,0.054945054945054944,0.013736263736263736,0.013736263736263736,0.027472527472527472,0.016483516483516484,0.038461538461538464,0.12912087912087913,0.4340659340659341,0.04945054945054945,0.3241758241758242
