id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
542,Guaiacum,452,8,98,21,15,3,3,0,33,21,84,64
543,Sodium carboxy methyl cellulose,286,9,55,11,10,3,4,6,4,21,54,29
544,Glycyrrhizin,4345,89,692,351,108,85,75,123,656,2972,255,1762
545,Potassium alginate,310,2,55,10,12,3,4,2,9,7,74,31
546,Formic acid,19262,260,991,322,81,106,122,59,84,1278,512,1867
547,Carbonates,13545,60,424,183,26,11,34,22,32,589,295,1050
548,Glyceryl triacetate,622,2,37,9,5,8,8,4,12,63,40,133
549,Lecithins,3294,23,229,86,53,42,25,44,44,480,187,663
550,Black iron oxide,27,0,2,0,0,0,0,1,1,1,2,7
551,Beta-apo-8′-carotenal (c30),78,2,4,2,1,0,0,1,0,62,1,29
552,Malvidin,1166,19,92,30,32,16,14,3,58,464,20,338
553,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,2,0,0,0,0,0,0,0,0,0,0,0
554,Sodium ethyl p-hydroxybenzoate,631,5,114,32,12,0,3,9,13,20,133,54
555,Monocalcium citrate,1,0,0,0,0,0,0,0,0,0,0,0
556,Polyvinylpolypyrrolidone,348,5,27,7,3,2,2,6,2,34,22,74
557,Cochineal,1324,26,187,61,17,3,7,55,22,58,162,138
558,Potassium benzoate,570,7,89,26,7,2,2,7,12,18,121,48
559,Oat lecithin,15,1,0,2,2,0,0,0,0,1,2,3
560,Sodium carbonates,11491,65,716,443,215,31,79,102,119,876,2222,2028
561,Sorbitan monostearate,200000,181478,200000,200000,200000,40279,171246,158929,200000,200000,200000,200000
562,Alginic acid,1242,13,122,54,12,11,11,11,36,89,113,210
563,Magnesium sulphate,2186,13,95,46,19,2,60,87,23,133,821,127
564,Butylated hydroxyanisole (bha),2442,251,1524,106,26,5,22,30,123,1919,93,688
565,Methylphenylpolysiloxane,4,0,0,0,0,0,0,0,0,0,0,0
566,Potassium metabisulphite,559,4,93,27,15,2,3,6,6,20,107,56
567,Gellan gum,1993,9,127,36,24,25,11,10,42,237,89,733
