nombre_limpio,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Potassium sodium tartrate,45,2,1,0,5,7
Potassium bromate,520,370,21,1,171,106
Sodium silicate,1042,21,10,3,127,49
Disodium 5'-ribonucleotide,5,0,0,0,3,0
Diphosphates,8317,806,156,12,989,1388
Montanic acid esters,2,0,1,0,2,0
E15x food additive,384129,36938,20776,6682,73632,86501
Aluminium potassium sulphate,10,1,1,0,0,1
Glycerol,72164,5542,2306,678,34325,11069
Magnesium salts of fatty acids,2,1,0,0,1,0
Tartrazine,1029,95,248,12,229,192
Sandalwood,374,54,44,5,68,95
Tripotassium citrate,17,0,0,0,2,7
Sodium sulphates,84289,11192,11961,4154,16267,15115
Acacia gum,220,22,14,20,71,42
Protease,165576,29446,14230,1492,20777,49763
Potassium bisulphite,151,33,7,1,26,37
Polyvinyl alcohol,15298,1552,805,45,2870,2736
Calcium ascorbate,83,5,3,1,67,30
Ammonia caramel,23,5,3,1,3,4
Potassium fumarate,5,0,0,0,0,0
Mineral oil medium and low viscosity class II,2,0,0,0,0,0
Fast Green FCF,150,14,7,0,16,13
Fast Yellow AB,4,0,0,0,1,0
Potassium hydroxide,3651,197,127,1,457,785
Fumaric acid,2419,236,237,71,506,470
Sodium aluminium phosphate,7,1,0,0,0,1
Superglycerinated hydrogenated rapeseed oil,304,15,4,3,46,35
Konjac,1594,69,111,122,389,215
Copper sulphate,919,63,37,12,466,127
Magnesium phosphates,79,3,2,0,10,14
Gum ghatti,74,5,3,0,20,7
Disodium tartrate,8,0,0,0,1,1
Tricalcium citrate,8,0,0,0,0,0
4-hexylresorcinol,114,28,5,0,35,22
Xylitol,4661,147,126,91,991,1116
Sorbitol,14143,771,573,110,2835,2544
Aluminium sulphate,178,7,2,0,18,26
Sorbitan monolaurate,218,17,10,1,40,36
Calcium erythorbin,710726,84602,38078,2726,116175,182818
Calcium stearoyl fumarate,0,0,0,0,0,0
E414a food additive,0,0,0,0,0,0
Curcumin,28381,0,7360,640,22440,10240
saccharin and its salts,97,22,1,1,12,9
Lactic acid esters of mono- and diglycerides of fatty acids,5,0,0,1,0,0
Yellow iron oxide,15,1,0,0,5,3
Phytic acid,5994,611,141,75,1052,1412
Ascorbic acid,69267,8559,3227,244,57766,16022
Cryptoaxanthin,0,0,0,0,0,0
Neohesperidine dihydrochalcone,16,2,0,0,0,5
Phosphated distarch phosphate,78,3,0,2,10,8
Heptylparaben,14,2,1,2,2,9
Monosodium citrate,10,0,0,0,1,2
