nombre_limpio,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
concentrated tocopherol,8783,1509,474,56,7732,3119
Cellulose,114318,6962,3307,1715,13468,11539
Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca,0,0,0,0,0,0
Propane,10946,1561,285,55,1486,1393
Plant carotenes,27244,2180,1651,163,14591,3656
Disodium inosinate,20,1,0,0,1,10
Mineral oil medium viscosity,30,3,3,0,6,6
Sodium propyl para-hydroxybenzoate,69,1,4,0,27,10
Chlorine dioxide,1883,172,33,22,227,386
Dimethyl dicarbonate,34,1,2,1,8,3
Calcium hydrogen malate,133,4,1,2,35,11
Processed eucheuma seaweed,11,3,2,1,1,3
Acetylated distarch phosphate,26,2,0,1,4,1
Calcium sorbate,6,3,0,0,0,2
Sodium sulphite,141,9,5,2,27,15
Talc,3967,1357,313,6,339,1104
Propylene Glycol,7520,582,699,64,2137,1687
isomalt,141,5,9,2,23,37
Anionic methacrylate copolymer,3,2,0,0,0,0
Glutamic acid,68911,6138,2801,421,13717,12694
Sorbitan monooleate,526,59,28,4,104,74
Erythrosine,899,94,55,3,118,187
Hydrochloric acid,15868,879,668,65,2465,2178
Formaldehyde,41279,7421,3806,105,5512,9009
Sodium hydrogen malate,180,7,11,1,53,10
Lecithin citrate,118,8,5,2,31,20
Carrageenan,15643,2236,9201,139,9118,1779
calcium lactate,654,58,16,2,97,210
Leucine,99571,17982,5417,886,11381,21781
Annatto,332,47,39,8,246,83
Magnesium diglutamate,4,3,0,0,1,2
Sodium gluconate,1147,61,37,2,117,370
Basic methacrylate copolymer,3,2,0,0,1,1
Hydroxypropyl distarch phosphate,32,2,0,1,3,2
Polyglycerol polyricinoleate,150,8,2,2,80,14
Trisodium phosphate,241,9,3,3,20,34
Orange GGN,4,0,0,0,0,0
Spiramycin,1726,110,104,12,136,436
Sulphuric acid,1895,86,19,4,197,188
ammonium malate,8,0,0,0,0,0
Tragacanth,544,33,32,2,135,77
Pullulan,2224,276,102,23,459,315
Monopotassium glutamate,28,4,0,0,1,13
Helium,16400,1039,634,18,994,2526
Octyl gallate,211,39,30,3,118,44
Methyl glucoside-coconut oil ester,1950,196,91,3,403,151
Sodium nitrate,1594,715,51,25,366,209
Dicalcium phosphate,1074,21,52,4,147,207
Neutral methacrylate copolymer,2,2,0,0,1,1
Mineral oil high viscosity,7617,893,453,64,1278,1208
Zinc acetate,1436,112,50,12,374,278
Sodium ferrocyanide,46,2,0,0,14,3
white and yellow beeswax,39,3,4,0,12,7
Oligoesters of sucrose type I,1,0,0,0,0,0
Dehydroacetic acid,181,12,8,0,19,25
Polyoxyethylene sorbitan monostearate,18,6,2,0,2,0
Copper complexes of chlorophyllins,1,1,0,0,0,0
ammonium persulfate,855,58,81,0,120,116
Partially hydrolyzed lecithin,15,0,0,0,2,2
Monopotassium phosphate,74,6,1,0,20,11
Alitame,50,2,3,0,5,15
Cross-linked sodium carboxymethylcellulose,8,0,0,0,1,2
Calcium formiate,6,0,0,0,0,0
Stearyl citrate,8,1,0,1,0,3
Monostarch phosphate,5,1,0,1,1,0
DL-Alpha-tocopherol,471,83,19,3,428,113
Chlorophylls,3731,128,53,17,1410,182
Enzymatically produced steviol glycosides,21,2,0,2,1,2
