nombre_final,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Dicalcium citrate,-0.39661610709146955,-1.1045778570668279,-0.35743676782955225,-0.7872651323057321,-0.5020068168081552,-0.47725094164636456
Butylated hydroxytoluene,1.0014150969313624,1.4110039559734282,1.0609010400559211,0.2943702743368159,1.5148751596038625,0.9392895764589776
Magnesium citrate,0.37859946794406235,0.4811108343571888,0.325111844316942,-0.13605572876250271,0.294828233411043,0.7432531660099965
Potassium ascorbate,-0.8447912182046049,-0.5221835199119695,-0.9705322375809257,-0.7872651323057321,-0.43445586900741484,-0.8520729310695998
lipase,1.8576044140752874,1.9827152457644404,2.092621940747248,2.378526714263538,1.7916571054147454,1.9921174141270621
Potassium carbonates,-0.705523407052714,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-0.774986907795104,-1.226894920492835
Propylene glycol,1.211496485345193,1.1998267593644487,1.525020802621784,1.1736461434143692,1.339471861915054,1.3084986455294811
Aluminium ammonium sulphate,-1.1536985181658492,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
sodium alginate,1.2933165537374576,1.2967186861773867,1.4956163643221392,1.5340629382720712,1.391587820867464,1.254521921655288
Alkannin,-0.017487367958558105,0.3252268894488299,0.46225043390003134,-0.4616604305341174,0.2841408001630023,-0.013889525190826488
Citrus Red 2,-1.0017510424575735,-0.7070318748913621,-0.4424405442151025,-0.7872651323057321,-1.2416494556514401,-0.7539222296529046
Monoammonium glutamate,-1.2258385980141409,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.8520729310695998
Starch aluminium octenyl succinate,-1.3188433366918477,-0.8537542684995382,-0.9705322375809257,-0.4616604305341174,-1.2416494556514401,-1.226894920492835
Ammonium phosphate,0.6586012605845123,0.33888367802685904,0.13051914002915097,0.3391420681799595,0.5351004928693242,0.6514013083199044
Lysozyme,1.6756986853482487,1.8570862278334148,2.016587520771811,2.340926789324104,1.6288076663297069,1.7004027925125231
Calcium hydrogen carbonate,-0.8447912182046049,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.5629938146786809
Erythritol,0.9087120754991913,0.6092721365715711,0.7519872024945793,1.3317034007070772,0.9066349247504706,0.8474425680390707
Calcium aluminium silicate,-1.0947557811352802,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Erythorbin acid,3.2189112450475807,3.6697569515986244,3.7099792052710474,4.388154555275229,3.2875351854288293,3.430310828682916
Green s,1.2727521178100942,1.4033044751364538,1.1919569222530515,1.6649880820739502,0.8503484132539142,1.3884890337880689
Acetylated distarch adipate,-0.8987981340917442,-0.7070318748913621,-0.9705322375809257,-0.4616604305341174,-1.008318181723272,-0.8520729310695998
Nitrogen oxide,0.7978215255924648,0.9618083837204546,1.0496961842311372,0.5436319871221417,1.0127455363129705,0.8700954224812578
Violaxanthin,0.6276933327854755,0.0880600894595694,0.10874534912195968,-0.27119388993922744,0.9597443677416918,0.1403177097168288
Calcium guanylate,0.8704557438711211,0.8616793685739383,0.636837042487783,-0.27119388993922744,1.0870292259800343,0.7943289150161397
Maltol,0.42289724558104913,0.4625497429633949,0.5827552271211667,0.24487735242727746,0.48119967322041396,0.4590831656491038
Potassium nitrite,-0.3195402060997483,-0.1764202876857494,-0.9705322375809257,-0.7872651323057321,-0.18616098175166124,-0.32650746925871565
Sorbitan tristearate,-0.6897500346282609,-0.7070318748913621,-0.706486390898014,-0.7872651323057321,-0.8718281362297977,-0.9904085750728697
Sodium benzoate,0.7522590506377832,0.7250850964075796,0.9836392393703531,0.743220140315051,0.8366066737607157,0.8068670384862248
Potassium phosphates,-0.4734529766452212,-0.6029306799322486,-0.9705322375809257,-0.7872651323057321,-0.3782211421231877,-0.5174358842329394
Red iron oxide,-0.5854006229888767,-0.7070318748913621,-0.5520294721173432,-0.4616604305341174,-0.6384968623016296,-0.6155865856496346
Sodium pectate,-0.7776634869010058,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.008318181723272,-0.9904085750728697
Chlorophylls and Chlorophyllins,0.37859946794406235,0.8663891350246313,0.3727911958048713,0.18954897300911197,0.840095055980632,0.44158303858451264
Alkaline modified starch,0.5001224515239888,0.24794254960845943,-0.057083686796205145,0.05441081183238732,0.4688827185805528,0.20765234315007874
Calcium iodate,-0.7985281457304209,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-0.8718281362297977,-0.6777906310049805
Sodium acetate,1.0681927578107973,1.0162176588406477,0.9173287941573964,1.4250286195695214,0.9360675720060344,1.0076997099820166
Sorbitan monopalmitate,-0.37848294313031716,-0.5221835199119695,-0.4424405442151025,-0.7872651323057321,-0.4051655883734614,-0.37910024022966937
calcium peroxide,0.35333417315572685,0.6338145533579979,0.3121974674470276,0.4848368149317058,0.42183523288678265,0.34428634932280455
Calcium bisulphite,0.08963708222281971,0.579513298196028,-0.057083686796205145,-0.4616604305341174,-0.008399822701545255,0.34428634932280455
Calcium hydroxide,1.2068204535715086,0.9131459438002608,1.4763242605866689,0.9214847406281181,1.1026587660762859,1.4703910829124598
Soybean hemicellulose,-1.3188433366918477,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.9904085750728697
Magnesium Gluconate,-0.45805530444332515,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-0.6998710153017675,-0.32650746925871565
Phosphoric acid,1.3420774214739317,1.0580361211023492,1.0118697549117646,0.7609485947937822,1.2099163754022746,1.4591410432081178
Beetroot red,-0.8987981340917442,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-0.6384968623016296,-0.8520729310695998
